,RRIntervals
0,0.726
1,0.755
2,0.758
3,0.757
4,0.814
5,0.85
6,0.868
7,0.877
8,0.911
9,0.899
10,0.849
11,0.85
12,0.879
13,0.875
14,0.832
15,0.783
16,0.812
17,0.821
18,0.853
19,0.839
20,0.867
21,0.905
22,0.876
23,0.858
24,0.848
25,0.843
26,0.796
27,0.832
28,0.854
29,0.865
30,0.815
31,0.826
32,0.853
33,0.849
34,0.782
35,0.78
36,0.795
37,0.808
38,0.79
39,0.787
40,0.827
41,0.839
42,0.833
43,0.814
44,0.83
45,0.835
46,0.811
47,0.804
48,0.821
49,0.821
50,0.773
51,0.781
52,0.78
53,0.777
54,0.752
55,0.802
56,0.825
57,0.81
58,0.773
59,0.797
60,0.818
61,0.795
62,0.796
63,0.835
64,0.864
65,0.837
66,0.864
67,0.878
68,0.861
69,0.812
70,0.837
71,0.85
72,0.877
73,0.839
74,0.857
75,0.863
76,0.88
77,0.821
78,0.838
79,0.846
80,0.84
81,0.793
82,0.834
83,0.847
84,0.878
85,0.806
86,0.839
87,0.852
88,0.852
89,0.817
90,0.809
91,0.785
92,0.691
93,0.646
94,0.663
95,0.732
96,0.869
97,0.817
98,0.801
99,0.842
100,0.851
101,0.791
102,0.818
103,0.84
104,0.82
105,0.753
106,0.761
107,0.786
108,0.8
109,0.742
110,0.763
111,0.766
112,0.764
113,0.726
114,0.776
115,0.793
116,0.81
117,0.761
118,0.827
119,0.813
120,0.818
121,0.775
122,0.793
123,0.804
124,0.802
125,0.75
126,0.756
127,0.754
128,0.748
129,0.705
130,0.723
131,0.731
132,0.724
133,0.701
134,0.743
135,0.734
136,0.677
137,0.712
138,0.715
139,0.687
140,0.679
141,0.709
142,0.708
143,0.664
144,0.708
145,0.713
146,0.733
147,0.695
148,0.729
149,0.749
150,0.753
151,0.695
152,0.732
153,0.729
154,0.693
155,0.687
156,0.72
157,0.71
158,0.676
159,0.629
160,0.633
161,0.632
162,0.672
163,0.715
164,0.698
165,0.727
166,0.766
167,0.792
168,0.775
169,0.801
170,0.862
171,0.893
172,0.83
173,0.823
174,0.828
175,0.827
176,0.778
177,0.799
178,0.826
179,0.821
180,0.803
181,0.797
182,0.742
183,0.709
184,0.666
185,0.672
186,0.725
187,0.685
188,0.665
189,0.695
190,0.728
191,0.761
192,0.791
193,0.757
194,0.764
195,0.783
196,0.796
197,0.773
198,0.757
199,0.786
200,0.797
201,0.802
202,0.769
203,0.792
204,0.802
205,0.79
206,0.757
207,0.78
208,0.782
209,0.807
210,0.778
211,0.814
212,0.83
213,0.835
214,0.791
215,0.834
216,0.844
217,0.799
218,0.733
219,0.767
220,0.787
221,0.747
222,0.75
223,0.793
224,0.817
225,0.767
226,0.774
227,0.786
228,0.777
229,0.754
230,0.799
231,0.812
232,0.775
233,0.812
234,0.817
235,0.769
236,0.761
237,0.792
238,0.792
239,0.727
240,0.695
241,0.725
242,0.74
243,0.733
244,0.727
245,0.785
246,0.811
247,0.816
248,0.768
249,0.783
250,0.799
251,0.741
252,0.685
253,0.741
254,0.749
255,0.769
256,0.747
257,0.8
258,0.791
259,0.712
260,0.729
261,0.742
262,0.702
263,0.659
264,0.622
265,0.624
266,0.655
267,0.739
268,0.805
269,0.84
270,0.847
271,0.797
272,0.701
273,0.701
274,0.704
275,0.723
276,0.76
277,0.788
278,0.796
279,0.805
280,0.816
281,0.81
282,0.812
283,0.814
284,0.81
285,0.823
286,0.804
287,0.735
288,0.69
289,0.712
290,0.757
291,0.835
292,0.868
293,0.871
294,0.878
295,0.872
296,0.868
297,0.861
298,0.85
299,0.837
300,0.826
301,0.76
302,0.782
303,0.805
304,0.869
305,0.926
306,0.879
307,0.91
308,0.926
309,0.923
310,0.869
311,0.863
312,0.871
313,0.848
314,0.759
315,0.778
316,0.784
317,0.801
318,0.776
319,0.733
320,0.767
321,0.804
322,0.839
323,0.846
324,0.815
325,0.762
326,0.776
327,0.77
328,0.74
329,0.754
330,0.761
331,0.781
332,0.733
333,0.672
334,0.695
335,0.699
336,0.706
337,0.747
338,0.777
339,0.775
340,0.763
341,0.758
342,0.766
343,0.776
344,0.786
345,0.801
346,0.786
347,0.772
348,0.756
349,0.758
350,0.794
351,0.832
352,0.85
353,0.831
354,0.811
355,0.837
356,0.841
357,0.853
358,0.851
359,0.855
360,0.88
361,0.867
362,0.822
363,0.841
364,0.853
365,0.87
366,0.886
367,0.841
368,0.859
369,0.868
370,0.886
371,0.871
