,RRIntervals,Time,Flag
0,0.726,0.0,0
1,0.755,0.726,0
2,0.758,1.4809999999999999,0
3,0.757,2.239,0
4,0.814,2.996,0
5,0.85,3.81,0
6,0.868,4.66,0
7,0.877,5.5280000000000005,0
8,0.911,6.405,0
9,0.899,7.316000000000001,0
10,0.849,8.215,0
11,0.85,9.064,0
12,0.879,9.914,0
13,0.875,10.793,0
14,0.832,11.668,0
15,0.783,12.5,0
16,0.812,13.283,0
17,0.821,14.094999999999999,0
18,0.853,14.915999999999999,0
19,0.839,15.768999999999998,0
20,0.867,16.607999999999997,0
21,0.905,17.474999999999998,0
22,0.876,18.38,0
23,0.858,19.256,0
24,0.848,20.114,0
25,0.843,20.962,0
26,0.796,21.805,0
27,0.832,22.601,0
28,0.854,23.433,0
29,0.865,24.287,0
30,0.815,25.151999999999997,0
31,0.826,25.967,0
32,0.853,26.793,0
33,0.849,27.646,0
34,0.782,28.495,0
35,0.78,29.277,0
36,0.795,30.057000000000002,0
37,0.808,30.852000000000004,0
38,0.79,31.660000000000004,0
39,0.787,32.45,0
40,0.827,33.237,0
41,0.839,34.064,0
42,0.833,34.903,0
43,0.814,35.736,0
44,0.83,36.55,0
45,0.835,37.379999999999995,0
46,0.811,38.214999999999996,0
47,0.804,39.025999999999996,0
48,0.821,39.83,0
49,0.821,40.650999999999996,0
50,0.773,41.471999999999994,0
51,0.781,42.245,0
52,0.78,43.025999999999996,0
53,0.777,43.806,0
54,0.752,44.583,0
55,0.802,45.335,0
56,0.825,46.137,0
57,0.81,46.962,0
58,0.773,47.772000000000006,0
59,0.797,48.54500000000001,0
60,0.818,49.342000000000006,0
61,0.795,50.160000000000004,0
62,0.796,50.955000000000005,0
63,0.835,51.751000000000005,0
64,0.864,52.586000000000006,0
65,0.837,53.45,0
66,0.864,54.287000000000006,0
67,0.878,55.151,0
68,0.861,56.029,0
69,0.812,56.89,0
70,0.837,57.702,0
71,0.85,58.539,0
72,0.877,59.389,0
73,0.839,60.266000000000005,0
74,0.857,61.105000000000004,0
75,0.863,61.962,0
76,0.88,62.825,0
77,0.821,63.705000000000005,0
78,0.838,64.52600000000001,0
79,0.846,65.364,0
80,0.84,66.21000000000001,0
81,0.793,67.05000000000001,0
82,0.834,67.84300000000002,0
83,0.847,68.67700000000002,0
84,0.878,69.52400000000002,0
85,0.806,70.40200000000002,0
86,0.839,71.20800000000001,0
87,0.852,72.04700000000001,0
88,0.852,72.89900000000002,0
89,0.817,73.75100000000002,0
90,0.809,74.56800000000001,0
91,0.785,75.37700000000001,0
92,0.691,76.162,0
93,0.646,76.85300000000001,0
94,0.663,77.49900000000001,0
95,0.732,78.162,0
96,0.869,78.894,0
97,0.817,79.763,0
98,0.801,80.58,0
99,0.842,81.381,0
100,0.851,82.223,0
101,0.791,83.074,0
102,0.818,83.865,0
103,0.84,84.68299999999999,0
104,0.82,85.523,0
105,0.753,86.34299999999999,0
106,0.761,87.09599999999999,0
107,0.786,87.85699999999999,0
108,0.8,88.64299999999999,0
109,0.742,89.44299999999998,0
110,0.763,90.18499999999999,0
111,0.766,90.948,0
112,0.764,91.714,0
113,0.726,92.478,0
114,0.776,93.204,0
115,0.793,93.97999999999999,0
116,0.81,94.773,0
117,0.761,95.583,0
118,0.827,96.344,0
119,0.813,97.17099999999999,0
120,0.818,97.984,0
121,0.775,98.80199999999999,0
122,0.793,99.577,0
123,0.804,100.37,0
124,0.802,101.174,0
125,0.75,101.97600000000001,0
126,0.756,102.72600000000001,0
127,0.754,103.48200000000001,0
128,0.748,104.23600000000002,0
129,0.705,104.98400000000002,0
130,0.723,105.68900000000002,0
131,0.731,106.41200000000002,0
132,0.724,107.14300000000001,0
133,0.701,107.86700000000002,0
134,0.743,108.56800000000001,0
135,0.734,109.311,0
136,0.677,110.045,0
137,0.712,110.72200000000001,0
138,0.715,111.43400000000001,0
139,0.687,112.14900000000002,0
140,0.679,112.83600000000001,0
141,0.709,113.51500000000001,0
142,0.708,114.22400000000002,0
143,0.664,114.93200000000002,0
144,0.708,115.59600000000002,0
145,0.713,116.30400000000002,0
146,0.733,117.01700000000001,0
147,0.695,117.75000000000001,0
148,0.729,118.44500000000001,0
149,0.749,119.174,0
150,0.753,119.923,0
151,0.695,120.676,0
152,0.732,121.371,0
153,0.729,122.103,0
154,0.693,122.832,0
155,0.687,123.52499999999999,0
156,0.72,124.21199999999999,0
157,0.71,124.93199999999999,0
158,0.676,125.64199999999998,0
159,0.629,126.31799999999998,0
160,0.633,126.94699999999999,0
161,0.632,127.57999999999998,0
162,0.672,128.212,0
163,0.715,128.884,0
164,0.698,129.599,0
165,0.727,130.297,0
166,0.766,131.024,0
167,0.792,131.79,0
168,0.775,132.582,0
169,0.801,133.357,0
170,0.862,134.158,0
171,0.893,135.01999999999998,0
172,0.83,135.91299999999998,0
173,0.823,136.743,0
174,0.828,137.566,0
175,0.827,138.394,0
176,0.778,139.221,0
177,0.799,139.999,0
178,0.826,140.798,0
179,0.821,141.624,0
180,0.803,142.445,0
181,0.797,143.248,0
182,0.742,144.045,0
183,0.709,144.78699999999998,0
184,0.666,145.49599999999998,0
185,0.672,146.16199999999998,0
186,0.725,146.83399999999997,0
187,0.685,147.55899999999997,0
188,0.665,148.24399999999997,0
189,0.695,148.90899999999996,0
190,0.728,149.60399999999996,0
191,0.761,150.33199999999997,0
192,0.791,151.09299999999996,0
193,0.757,151.88399999999996,0
194,0.764,152.64099999999996,0
195,0.783,153.40499999999997,0
196,0.796,154.18799999999996,0
197,0.773,154.98399999999995,0
198,0.757,155.75699999999995,0
199,0.786,156.51399999999995,0
200,0.797,157.29999999999995,0
201,0.802,158.09699999999995,0
202,0.769,158.89899999999994,0
203,0.792,159.66799999999995,0
204,0.802,160.45999999999995,0
205,0.79,161.26199999999994,0
206,0.757,162.05199999999994,0
207,0.78,162.80899999999994,0
208,0.782,163.58899999999994,0
209,0.807,164.37099999999995,0
210,0.778,165.17799999999994,0
211,0.814,165.95599999999993,0
212,0.83,166.76999999999992,0
213,0.835,167.59999999999994,0
214,0.791,168.43499999999995,0
215,0.834,169.22599999999994,0
216,0.844,170.05999999999995,0
217,0.799,170.90399999999994,0
218,0.733,171.70299999999995,0
219,0.767,172.43599999999995,0
220,0.787,173.20299999999995,0
221,0.747,173.98999999999995,0
222,0.75,174.73699999999997,0
223,0.793,175.48699999999997,0
224,0.817,176.27999999999997,0
225,0.767,177.09699999999998,0
226,0.774,177.86399999999998,0
227,0.786,178.63799999999998,0
228,0.777,179.42399999999998,0
229,0.754,180.20099999999996,0
230,0.799,180.95499999999996,0
231,0.812,181.75399999999996,0
232,0.775,182.56599999999997,0
233,0.812,183.34099999999998,0
234,0.817,184.153,0
235,0.769,184.97,0
236,0.761,185.739,0
237,0.792,186.5,0
238,0.792,187.292,0
239,0.727,188.084,0
240,0.695,188.811,0
241,0.725,189.506,0
242,0.74,190.231,0
243,0.733,190.971,0
244,0.727,191.704,0
245,0.785,192.431,0
246,0.811,193.216,0
247,0.816,194.02700000000002,0
248,0.768,194.84300000000002,0
249,0.783,195.61100000000002,0
250,0.799,196.394,0
251,0.741,197.193,0
252,0.685,197.93400000000003,0
253,0.741,198.61900000000003,0
254,0.749,199.36000000000004,0
255,0.769,200.10900000000004,0
256,0.747,200.87800000000004,0
257,0.8,201.62500000000006,0
258,0.791,202.42500000000007,0
259,0.712,203.21600000000007,0
260,0.729,203.92800000000005,0
261,0.742,204.65700000000007,0
262,0.702,205.39900000000006,0
263,0.659,206.10100000000006,0
264,0.622,206.76000000000005,0
265,0.624,207.38200000000006,0
266,0.655,208.00600000000006,0
267,0.739,208.66100000000006,0
