Participant,Ride Number,Scenario,Average BPM,RMSSD,SDSD,SDNN,PNN50,Baseline BPM,Substraction BPM,Baseline RMSSD,Substraction RMSSD,Baseline SDNN,Substraction SDNN,Baseline SDSD,Substraction SDSD,Baseline PNN50,Substraction PNN50
1,1,1,74.05144803,0.029688382,0.029645236,0.053166226,5,52.59384434,21.45760369,0.987708775,0.958020393,0.819304345,0.766138119,5.625908199,5.596262963,0.37621498,4.62378502
1,1,2,72.84752478,0.47918894,0.477355324,0.34018215,24,52.59384434,20.25368044,0.987708775,0.508519835,0.819304345,0.479122195,5.625908199,5.148552874,0.37621498,23.62378502
1,1,3,76.78319205,0.036711942,0.036700908,0.03393124,10,52.59384434,24.18934771,0.987708775,0.950996833,0.819304345,0.785373105,5.625908199,5.58920729,0.37621498,9.62378502
1,1,4,85.92318356,0.028058867,0.028041041,0.047188528,0,52.59384434,33.32933923,0.987708775,0.959649908,0.819304345,0.772115817,5.625908199,5.597867157,0.37621498,0.37621498
1,1,5,80.39067901,0.034282325,0.033548426,0.045052925,11.11111111,52.59384434,27.79683467,0.987708775,0.95342645,0.819304345,0.77425142,5.625908199,5.592359772,0.37621498,10.73489613
1,1,6,73.73578912,0.034745767,0.034626365,0.040382643,2.43902439,52.59384434,21.14194478,0.987708775,0.952963008,0.819304345,0.778921702,5.625908199,5.591281834,0.37621498,2.06280941
1,1,7,75.08039153,0.037627431,0.037607148,0.053883195,5.882352941,52.59384434,22.48654719,0.987708775,0.950081344,0.819304345,0.76542115,5.625908199,5.588301051,0.37621498,5.506137961
1,2,1,66.97552,0.04618897,,,,80.52693,13.55141,0.03061158,0.01557739,,,,,,
1,2,2,68.44924,0.2730135,,,,80.52693,12.07769,0.03061158,0.24240192,,,,,,
1,2,3,69.59446,0.2521851,,,,80.52693,10.93247,0.03061158,0.22157352,,,,,,
1,2,4,71.54997,0.02474268,,,,80.52693,8.97696,0.03061158,0.0058689,,,,,,
1,2,5,76.10384,0.0387777,,,,80.52693,4.42309,0.03061158,0.00816612,,,,,,
1,2,6,70.76009,0.04437188,,,,80.52693,9.76684,0.03061158,0.0137603,,,,,,
1,2,7,72.43248,0.03834192,,,,80.52693,8.09445,0.03061158,0.00773034,,,,,,
2,1,1,54.90318,0.07065975,,,,60.10463,5.20145,0.100423284,0.029763534,,,,,,
2,1,2,54.38004,0.09602576,,,,60.10463,5.72459,0.100423284,0.004397524,,,,,,
2,1,3,54.22732,0.094156,,,,60.10463,5.87731,0.100423284,0.006267284,,,,,,
2,1,4,63.32552,0.08434453,,,,60.10463,3.22089,0.100423284,0.016078754,,,,,,
2,1,5,69.0173,0.07207092,,,,60.10463,8.91267,0.100423284,0.028352364,,,,,,
2,1,6,51.87625,0.09363893,,,,60.10463,8.22838,0.100423284,0.006784354,,,,,,
2,1,7,57.91687,0.2384147,,,,60.10463,2.18776,0.100423284,0.137991416,,,,,,
2,2,1,87.93947,0.01422252,,,,60.10463,27.83484,0.100423284,0.086200764,,,,,,
2,2,2,89.40399,0.02317056,,,,60.10463,29.29936,0.100423284,0.077252724,,,,,,
2,2,3,88.32722,0.01453296,,,,60.10463,28.22259,0.100423284,0.085890324,,,,,,
2,2,4,95.36328,0.008680849,,,,60.10463,35.25865,0.100423284,0.091742435,,,,,,
2,2,5,90.77765,0.1722865,,,,60.10463,30.67302,0.100423284,0.071863216,,,,,,
2,2,6,88.64943,0.0201792,,,,60.10463,28.5448,0.100423284,0.080244084,,,,,,
2,2,7,93.20668,0.07949822,,,,60.10463,33.10205,0.100423284,0.020925064,,,,,,
